,data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,totale_positivi,variazione_totale_positivi,nuovi_positivi,deceduti,totale_casi,ingressi_terapia_intensiva
214,2020-03-05T17:00:00,Emilia-Romagna,327,32,359,658,142,154,30,698,
215,2020-03-05T17:00:00,Friuli Venezia Giulia,4,0,4,21,3,3,0,21,
216,2020-03-05T17:00:00,Lazio,20,7,27,41,14,14,0,44,
217,2020-03-05T17:00:00,Liguria,11,3,14,21,0,2,3,28,
218,2020-03-05T17:00:00,Lombardia,1169,244,1413,1777,280,431,98,2251,
219,2020-03-05T17:00:00,Marche,57,19,76,120,40,40,4,124,
220,2020-03-05T17:00:00,Molise,4,0,4,7,4,4,0,7,
221,2020-03-05T17:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
222,2020-03-05T17:00:00,P.A. Trento,2,0,2,7,2,2,0,7,
223,2020-03-05T17:00:00,Piemonte,43,17,60,106,24,26,2,108,
224,2020-03-05T17:00:00,Puglia,5,1,6,12,5,5,1,14,
225,2020-03-05T17:00:00,Sardegna,2,0,2,2,0,0,0,2,
226,2020-03-05T17:00:00,Sicilia,5,0,5,16,0,0,0,18,
227,2020-03-05T17:00:00,Toscana,26,3,29,60,23,23,0,61,
228,2020-03-05T17:00:00,Umbria,1,1,2,9,0,0,0,9,
229,2020-03-05T17:00:00,Valle d'Aosta,0,0,0,2,2,2,0,2,
230,2020-03-05T17:00:00,Veneto,92,24,116,380,35,47,10,407,
231,2020-03-06T17:00:00,Abruzzo,9,0,9,9,1,1,0,9,
232,2020-03-06T17:00:00,Basilicata,1,0,1,3,2,2,0,3,
233,2020-03-06T17:00:00,Calabria,2,0,2,4,2,2,0,4,
234,2020-03-06T17:00:00,Campania,12,0,12,57,12,12,0,57,
235,2020-03-06T17:00:00,Emilia-Romagna,397,53,450,816,158,172,37,870,
236,2020-03-06T17:00:00,Friuli Venezia Giulia,4,0,4,28,7,10,0,31,
237,2020-03-06T17:00:00,Lazio,26,8,34,50,9,10,1,54,
238,2020-03-06T17:00:00,Liguria,12,5,17,24,3,4,3,32,
239,2020-03-06T17:00:00,Lombardia,1622,309,1931,2008,231,361,135,2612,
240,2020-03-06T17:00:00,Marche,73,20,93,155,35,35,4,159,
241,2020-03-06T17:00:00,Molise,3,2,5,12,5,5,0,12,
242,2020-03-06T17:00:00,P.A. Bolzano,4,0,4,4,3,3,0,4,
243,2020-03-06T17:00:00,P.A. Trento,4,0,4,10,3,3,0,10,
244,2020-03-06T17:00:00,Piemonte,57,30,87,139,33,35,4,143,
245,2020-03-06T17:00:00,Puglia,5,1,6,15,3,3,1,17,
246,2020-03-06T17:00:00,Sardegna,2,0,2,5,3,3,0,5,
247,2020-03-06T17:00:00,Sicilia,7,0,7,22,6,6,0,24,
248,2020-03-06T17:00:00,Toscana,35,5,40,78,18,18,0,79,
249,2020-03-06T17:00:00,Umbria,2,2,4,16,7,7,0,16,
250,2020-03-06T17:00:00,Valle d'Aosta,0,0,0,7,5,5,0,7,
251,2020-03-06T17:00:00,Veneto,117,27,144,454,74,81,12,488,
252,2020-03-07T18:00:00,Abruzzo,11,0,11,11,2,2,0,11,
253,2020-03-07T18:00:00,Basilicata,1,0,1,3,0,0,0,3,
254,2020-03-07T18:00:00,Calabria,2,0,2,4,0,0,0,4,
255,2020-03-07T18:00:00,Campania,16,0,16,61,4,4,0,61,
256,2020-03-07T18:00:00,Emilia-Romagna,464,64,528,937,121,140,48,1010,
257,2020-03-07T18:00:00,Friuli Venezia Giulia,7,1,8,39,11,11,0,42,
258,2020-03-07T18:00:00,Lazio,43,8,51,72,22,22,1,76,
259,2020-03-07T18:00:00,Liguria,26,6,32,42,18,19,4,51,
260,2020-03-07T18:00:00,Lombardia,1661,359,2020,2742,734,808,154,3420,
261,2020-03-07T18:00:00,Marche,94,36,130,201,46,48,6,207,
262,2020-03-07T18:00:00,Molise,3,2,5,14,2,2,0,14,
263,2020-03-07T18:00:00,P.A. Bolzano,8,0,8,9,5,5,0,9,
264,2020-03-07T18:00:00,P.A. Trento,6,1,7,14,4,4,0,14,
265,2020-03-07T18:00:00,Piemonte,110,38,148,202,63,64,5,207,
266,2020-03-07T18:00:00,Puglia,9,2,11,23,8,9,2,26,
267,2020-03-07T18:00:00,Sardegna,2,0,2,5,0,0,0,5,
268,2020-03-07T18:00:00,Sicilia,8,0,8,33,11,11,0,35,
269,2020-03-07T18:00:00,Toscana,54,7,61,112,34,34,0,113,
270,2020-03-07T18:00:00,Umbria,2,2,4,24,8,8,0,24,
271,2020-03-07T18:00:00,Valle d'Aosta,1,0,1,8,1,1,0,8,
272,2020-03-07T18:00:00,Veneto,123,41,164,505,51,55,13,543,
273,2020-03-08T18:00:00,Abruzzo,14,0,14,17,6,6,0,17,
274,2020-03-08T18:00:00,Basilicata,2,0,2,4,1,1,0,4,
275,2020-03-08T18:00:00,Calabria,5,0,5,9,5,5,0,9,
276,2020-03-08T18:00:00,Campania,30,7,37,100,39,40,0,101,
277,2020-03-08T18:00:00,Emilia-Romagna,542,75,617,1097,160,170,56,1180,
278,2020-03-08T18:00:00,Friuli Venezia Giulia,7,1,8,53,14,15,1,57,
279,2020-03-08T18:00:00,Lazio,47,8,55,81,9,11,3,87,
280,2020-03-08T18:00:00,Liguria,39,11,50,67,25,27,6,78,
281,2020-03-08T18:00:00,Lombardia,2217,399,2616,3372,630,769,267,4189,
282,2020-03-08T18:00:00,Marche,110,41,151,265,64,65,7,272,
283,2020-03-08T18:00:00,Molise,4,2,6,14,0,0,0,14,
284,2020-03-08T18:00:00,P.A. Bolzano,8,0,8,9,0,0,0,9,
285,2020-03-08T18:00:00,P.A. Trento,7,2,9,23,9,9,0,23,
286,2020-03-08T18:00:00,Piemonte,245,45,290,355,153,153,5,360,
287,2020-03-08T18:00:00,Puglia,17,3,20,36,13,14,3,40,
288,2020-03-08T18:00:00,Sardegna,5,0,5,11,6,6,0,11,
